reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,EXAM_APPEAR,Remarks
YS-N24/53-5100464/2017,35,,,,,,,58.0,24.0,,,,,,,,,,,A,N24,YS-N24/51-5100464/2017,53,WB1002101056,23/03/2018,,,,,PASS
YS-N24/53-5100526/2017,35,,,,,,,48.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100526/2017,53,WB1002101040,13/04/2018,,,,,PASS
YS-N24/53-5100182/2017,35,,,,,,,54.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100182/2017,53,WB1002100994,12/06/2018,,,,,PASS
YS-N24/53-5100639/2017,35,,,,,,,57.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100639/2017,53,WB1002100778,,,,,,PASS
YS-N24/53-5100682/2017,35,,,,,,,56.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100682/2017,53,WB1002105594,30/06/2018,,,,,PASS
YS-N24/53-5100067/2017,35,,,,,,,59.0,24.0,,,,,,,,,,,A,N24,YS-N24/51-5100067/2017,53,WB1002117632,07/05/2018,,,,,PASS
YS-N24/53-5100378/2017,35,,,,,,,51.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100378/2017,53,WB1002102754,30/03/2018,,,,,PASS
YS-N24/53-5100258/2017,35,,,,,,,49.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100258/2017,53,WB1002117648,07/05/2018,,,,,PASS
YS-N24/53-5100256/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100256/2017,53,,,,,,,PASS
YS-N24/53-5100636/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100636/2017,53,,,,,,,PASS
YS-N24/53-5100448/2017,35,,,,,,,53.0,26.0,,,,,,,,,,,B+,N24,YS-N24/51-5100448/2017,53,WB1002105554,,,,,,PASS
YS-N24/53-5100449/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100449/2017,53,,,,,,,PASS
YS-N24/53-5100472/2017,35,,,,,,,41.0,24.0,,,,,,,,,,,B,N24,YS-N24/51-5100472/2017,53,WB1002105256,08/05/2018,,,,,PASS
YS-N24/53-5100326/2017,35,,,,,,,55.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100326/2017,53,WB1002117638,05/05/2018,,,,,PASS
YS-N24/53-5100322/2017,35,,,,,,,52.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100322/2017,53,WB1002101714,04/06/2018,,,,,PASS
YS-N24/53-5100318/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100318/2017,53,,,,,,,PASS
YS-N24/53-5100704/2017,35,,,,,,,64.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100704/2017,53,WB1002106446,26/05/2018,,,,,PASS
YS-N24/53-5100394/2017,35,,,,,,,47.0,26.0,,,,,,,,,,,B+,N24,YS-N24/51-5100394/2017,53,WB1002110346,17/04/2018,,,,,PASS
YS-N24/53-5100561/2017,35,,,,,,,69.0,27.0,,,,,,,,,,,A+,N24,YS-N24/51-5100561/2017,53,WB1002106342,13/04/2018,,,,,PASS
YS-N24/53-5100356/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100356/2017,53,,,,,,,PASS
YS-N24/53-5100417/2017,35,,,,,,,45.0,28.0,,,,,,,,,,,B+,N24,YS-N24/51-5100417/2017,53,WB1002105188,02/04/2018,,,,,PASS
YS-N24/53-5100190/2017,35,,,,,,,47.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100190/2017,53,WB1002121994,25/04/2018,,,,,PASS
YS-N24/53-5100353/2017,35,,,,,,,55.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100353/2017,53,WB1002110072,25/04/2018,,,,,PASS
YS-N24/53-5100497/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100497/2017,53,,,,,,,PASS
YS-N24/53-5100546/2017,35,,,,,,,40.0,26.0,,,,,,,,,,,B,N24,YS-N24/51-5100546/2017,53,WB1002117536,,,,,,PASS
YS-N24/53-5100549/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100549/2017,53,,,,,,,PASS
YS-N24/53-5100235/2017,35,,,,,,,54.0,21.0,,,,,,,,,,,B+,N24,YS-N24/51-5100235/2017,53,WB1002117676,03/05/2018,,,,,PASS
YS-N24/53-5100364/2017,35,,,,,,,61.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100364/2017,53,WB1002152676,04/05/2018,,,,,PASS
YS-N24/53-5100282/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100282/2017,53,,,,,,,PASS
YS-N24/53-5300022/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100251/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100251/2017,53,,,,,,,PASS
YS-N24/53-5100421/2017,35,,,,,,,55.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100421/2017,53,WB1002109630,17/04/2018,,,,,PASS
YS-N24/53-5100520/2017,35,,,,,,,56.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100520/2017,53,WB1002100814,09/07/2019,,,,,PASS
YS-N24/53-5100538/2017,35,,,,,,,54.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100538/2017,53,WB1002100574,17/04/2018,,,,,PASS
YS-N24/53-5100400/2017,35,,,,,,,47.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100400/2017,53,WB1002105502,19/05/2018,,,,,PASS
YS-N24/53-5100161/2017,35,,,,,,,56.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100161/2017,53,WB1002105208,17/04/2018,,,,,PASS
YS-N24/53-5100408/2017,35,,,,,,,55.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100408/2017,53,WB1002105148,04/05/2018,,,,,PASS
YS-N24/53-5100346/2017,35,,,,,,,58.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100346/2017,53,WB1002109804,03/04/2018,,,,,PASS
YS-N24/53-5100369/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100369/2017,53,,,,,,,PASS
YS-N24/53-5100397/2017,35,,,,,,,58.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100397/2017,53,WB1002129882,15/06/2018,,,,,PASS
YS-N24/53-5100348/2017,35,,,,,,,54.0,23.0,,,,,,,,,,,B+,N24,YS-N24/51-5100348/2017,53,WB1002102734,22/03/2018,,,,,PASS
YS-N24/53-5100411/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100411/2017,53,,,,,,,PASS
YS-N24/53-5100457/2017,35,,,,,,,57.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100457/2017,53,WB1002117336,24/03/2018,,,,,PASS
YS-N24/53-5100314/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100314/2017,53,,,,,,,PASS
YS-N24/53-5100377/2017,35,,,,,,,47.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100377/2017,53,WB1002110288,03/05/2018,,,,,PASS
YS-N24/53-5100366/2017,35,,,,,,,54.0,23.0,,,,,,,,,,,B+,N24,YS-N24/51-5100366/2017,53,WB1002117700,22/03/2018,,,,,PASS
YS-N24/53-5300023/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300024/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100165/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100165/2017,53,,,,,,,PASS
YS-N24/53-5300025/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5100233/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100233/2017,53,,,,,,,PASS
YS-N24/53-5100342/2017,35,,,,,,,48.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100342/2017,53,WB1002117242,,,,,,PASS
YS-N24/53-5100501/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100501/2017,53,,,,,,,PASS
YS-N24/53-5100615/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100615/2017,53,,,,,,,PASS
YS-N24/53-5300026/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300027/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100718/2017,33,,,,,,,62.0,28.0,,,,,,,,,,,A+,N24,YS-N24/51-5100718/2017,53,WB1002096940,,,,,,PASS
YS-N24/53-5300028/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300029/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100399/2017,35,,,,,,,48.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100399/2017,53,WB1002117322,19/05/2018,,,,,PASS
YS-N24/53-5100014/2017,32,,,,,,,45.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100014/2017,53,WB1002122238,30/04/2019,,,,,PASS
YS-N24/53-5100129/2017,32,,,,,,,70.0,30.0,,,,,,,,,,,A+,N24,YS-N24/51-5100129/2017,53,WB1002096124,16/07/2018,,,,,PASS
YS-N24/53-5100405/2017,35,,,,,,,37.0,29.0,,,,,,,,,,,B,N24,YS-N24/51-5100405/2017,53,WB1002117354,17/04/2018,,,,,PASS
YS-N24/53-5100404/2017,35,,,,,,,62.0,28.0,,,,,,,,,,,A+,N24,YS-N24/51-5100404/2017,53,WB1002117308,17/04/2018,,,,,PASS
YS-N24/53-5100355/2017,35,,,,,,,52.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100355/2017,53,WB1002117158,11/04/2018,,,,,PASS
YS-N24/53-5100565/2017,35,,,,,,,59.0,29.0,,,,,,,,,,,A,N24,YS-N24/51-5100565/2017,53,WB1002106210,23/04/2018,,,,,PASS
YS-N24/53-5100585/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100585/2017,53,,,,,,,PASS
YS-N24/53-5100611/2017,35,,,,,,,57.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100611/2017,53,WB1002117544,03/11/2021,,,,,PASS
YS-N24/53-5100613/2017,35,,,,,,,56.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100613/2017,53,WB1002106186,10/04/2018,,,,,PASS
YS-N24/53-5100655/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100655/2017,53,,,,,,,PASS
YS-N24/53-5100541/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100541/2017,53,,,,,,,PASS
YS-N24/53-5100610/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100610/2017,53,,,,,,,PASS
YS-N24/53-5100576/2017,35,,,,,,,59.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100576/2017,53,WB1002129856,31/05/2018,,,,,PASS
YS-N24/53-5100560/2017,35,,,,,,,67.0,26.0,,,,,,,,,,,A+,N24,YS-N24/51-5100560/2017,53,WB1002106158,13/04/2018,,,,,PASS
YS-N24/53-5100653/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100653/2017,53,,,,,,,PASS
YS-N24/53-5100666/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100666/2017,53,,,,,,,PASS
YS-N24/53-5100652/2017,35,,,,,,,59.0,25.0,,,,,,,,,,,A,N24,YS-N24/51-5100652/2017,53,WB1002106198,03/05/2018,,,,,PASS
YS-N24/53-5100654/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100654/2017,53,,,,,,,PASS
YS-N24/53-5100595/2017,35,,,,,,,60.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100595/2017,53,WB1002106502,25/04/2018,,,,,PASS
YS-N24/53-5100614/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100614/2017,53,,,,,,,PASS
YS-N24/53-5100270/2017,35,,,,,,,56.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100270/2017,53,WB1002110134,13/04/2018,,,,,PASS
YS-N24/53-5100198/2017,35,,,,,,,53.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100198/2017,53,WB1002110012,08/05/2018,,,,,PASS
YS-N24/53-5100383/2017,35,,,,,,,58.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100383/2017,53,WB1002110060,19/04/2018,,,,,PASS
YS-N24/53-5100395/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100395/2017,53,,,,,,,PASS
YS-N24/53-5100299/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100299/2017,53,,,,,,,PASS
YS-N24/53-5100370/2017,35,,,,,,,43.0,20.0,,,,,,,,,,,B,N24,YS-N24/51-5100370/2017,53,WB1002117656,31/05/2018,,,,,PASS
YS-N24/53-5100368/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100368/2017,53,,,,,,,PASS
YS-N24/53-5100367/2017,35,,,,,,,48.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100367/2017,53,WB1002117690,09/05/2018,,,,,PASS
YS-N24/53-5100296/2017,35,,,,,,,46.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100296/2017,53,WB1002117660,28/04/2018,,,,,PASS
YS-N24/53-5100432/2017,35,,,,,,,58.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100432/2017,53,WB1002109784,17/04/2018,,,,,PASS
YS-N24/53-5100445/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100445/2017,53,,,,,,,PASS
YS-N24/53-5100275/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100275/2017,53,,,,,,,PASS
YS-N24/53-5100286/2017,35,,,,,,,56.0,29.0,,,,,,,,,,,A,N24,YS-N24/51-5100286/2017,53,WB1002109410,13/04/2018,,,,,PASS
YS-N24/53-5300030/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100436/2017,35,,,,,,,56.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100436/2017,53,WB1002117222,26/04/2018,,,,,PASS
YS-N24/53-5300031/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300032/2017,25,,44.0,29.0,,,,,,,,,,,,,,,,B+,N24,,53,WB1002098058,04/05/2018,,,saheli,,PASS
YS-N24/53-5100350/2017,35,,,,,,,52.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100350/2017,53,WB1002110098,29/05/2018,,,,,PASS
YS-N24/53-5100315/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100315/2017,53,,,,,,,PASS
YS-N24/53-5100184/2017,35,,,,,,,45.0,24.0,,,,,,,,,,,B,N24,YS-N24/51-5100184/2017,53,WB1002109992,06/04/2018,,,,,PASS
YS-N24/53-5300033/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5100387/2017,35,,,,,,,45.0,23.0,,,,,,,,,,,B,N24,YS-N24/51-5100387/2017,53,WB1002117666,07/05/2018,,,,,PASS
YS-N24/53-5100672/2017,35,,,,,,,53.0,26.0,,,,,,,,,,,B+,N24,YS-N24/51-5100672/2017,53,WB1002106456,18/04/2018,,,,,PASS
YS-N24/53-5100532/2017,35,,,,,,,64.0,28.0,,,,,,,,,,,A+,N24,YS-N24/51-5100532/2017,53,WB1002117388,25/04/2018,,,,,PASS
YS-N24/53-5100527/2017,35,,,,,,,53.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100527/2017,53,WB1002117416,13/04/2018,,,,,PASS
YS-N24/53-5100531/2017,35,,,,,,,63.0,28.0,,,,,,,,,,,A+,N24,YS-N24/51-5100531/2017,53,WB1002117372,25/04/2018,,,,,PASS
YS-N24/53-5100502/2017,35,,,,,,,68.0,28.0,,,,,,,,,,,A+,N24,YS-N24/51-5100502/2017,53,WB1002117178,24/03/2018,,,,,PASS
YS-N24/53-5300034/2017,25,,41.0,28.0,,,,,,,,,,,,,,,,B,N24,,53,WB1002098196,,,,PROMITA,,PASS
YS-N24/53-5300035/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100053/2017,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100053/2017,53,,,,,,,PASS
YS-N24/53-5300036/2017,27,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5100272/2017,35,,,,,,,55.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100272/2017,53,WB1002105956,21/07/2018,,,,,PASS
YS-N24/53-5300037/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100357/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100357/2017,53,,,,,,,PASS
YS-N24/53-5100433/2017,35,,,,,,,55.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100433/2017,53,WB1002109262,28/03/2018,,,,,PASS
YS-N24/53-5300038/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100712/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100712/2017,53,,,,,,,PASS
YS-N24/53-5300039/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300040/2017,25,,55.0,26.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002098034,28/03/2018,,,saheli,,PASS
YS-N24/53-5300041/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5100396/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100396/2017,53,,,,,,,PASS
YS-N24/53-5300042/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300043/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5100415/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100415/2017,53,,,,,,,PASS
YS-N24/53-5100498/2017,35,,,,,,,51.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100498/2017,53,WB1002117194,23/04/2018,,,,,PASS
YS-N24/53-4900101/2017,45,,,,,,,,,,,,62.0,25.0,,,,,,A,N24,YS-N24/51-4900101/2017,53,WB1002092460,19/04/2018,,,,,PASS
YS-N24/53-4900111/2017,45,,,,,,,,,,,,59.0,25.0,,,,,,A,N24,YS-N24/51-4900111/2017,53,WB1002117840,,,,,,PASS
YS-N24/53-4900129/2017,45,,,,,,,,,,,,61.0,25.0,,,,,,A,N24,YS-N24/51-4900129/2017,53,WB1002092352,24/03/2018,,,,,PASS
YS-N24/53-5300044/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5100137/2017,35,,,,,,,51.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100137/2017,53,WB1002105418,20/07/2018,,,,,PASS
YS-N24/53-5300045/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300046/2017,35,,,,,,,55.0,24.0,,,,,,,,,,,B+,N24,YS-BTM/15-1500192/2013,53,WB1002117258,20/06/2018,,,,,PASS
YS-N24/53-5100196/2017,35,,,,,,,56.0,23.0,,,,,,,,,,,B+,N24,YS-N24/51-5100196/2017,53,WB1002110164,12/04/2018,,,,,PASS
YS-N24/53-5100243/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100243/2017,53,,,,,,,PASS
YS-N24/53-5100514/2017,33,,,,,,,63.0,30.0,,,,,,,,,,,A+,N24,YS-N24/51-5100514/2017,53,WB1002096504,07/05/2018,,,,,PASS
YS-N24/53-5100199/2017,35,,,,,,,55.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100199/2017,53,WB1002106468,26/05/2018,,,,,PASS
YS-N24/53-5300047/2017,25,,54.0,28.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002097918,02/04/2018,,,saheli,,PASS
YS-N24/53-5100276/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100276/2017,53,,,,,,,PASS
YS-N24/53-5300048/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300049/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300050/2017,25,,39.0,25.0,,,,,,,,,,,,,,,,B,N24,,53,WB1002097982,12/05/2018,,,PROMITA,,PASS
YS-N24/53-5100083/2017,35,,,,,,,51.0,28.0,,,,,,,,,,,B+,N24,YS-N24/51-5100083/2017,53,WB1002102772,02/06/2018,,,,,PASS
YS-N24/53-5300051/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,saheli,,PASS
YS-N24/53-5300052/2017,35,,,,,,,52.0,29.0,,,,,,,,,,,A,N24,YS-BTM/23-2300156/2015,53,WB1002116856,02/05/2018,,,,,PASS
YS-N24/53-5100345/2017,35,,,,,,,62.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100345/2017,53,WB1002110308,04/04/2018,,,,,PASS
YS-N24/53-5100320/2017,35,,,,,,,53.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100320/2017,53,WB1002163034,,,,,,PASS
YS-N24/53-5100599/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100599/2017,53,,,,,,,PASS
YS-N24/53-5100703/2017,35,,,,,,,67.0,26.0,,,,,,,,,,,A+,N24,YS-N24/51-5100703/2017,53,WB1002106382,,,,,,PASS
YS-N24/53-3200286/2017,45,,,,,,,,,,,,59.0,28.0,,,,,,A,N24,YS-N24/51-3200286/2017,53,WB1002098786,31/03/2018,,,,,PASS
YS-N24/53-5300053/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100252/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100252/2017,53,,,,,,,PASS
YS-N24/53-5100401/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100401/2017,53,,,,,,,PASS
YS-N24/53-5100413/2017,35,,,,,,,46.0,22.0,,,,,,,,,,,B,N24,YS-N24/51-5100413/2017,53,WB1002117134,01/08/2018,,,,,PASS
YS-N24/53-5100414/2017,35,,,,,,,47.0,22.0,,,,,,,,,,,B,N24,YS-N24/51-5100414/2017,53,WB1002117024,11/08/2018,,,,,PASS
YS-N24/53-5100324/2017,35,,,,,,,43.0,26.0,,,,,,,,,,,B,N24,YS-N24/51-5100324/2017,53,WB1002110122,,,,,,PASS
YS-N24/53-5300054/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300055/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300056/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100079/2017,35,,,,,,,60.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100079/2017,53,WB1002117710,09/04/2019,,,,,PASS
YS-N24/53-5100080/2017,35,,,,,,,48.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100080/2017,53,WB1002117738,09/04/2019,,,,,PASS
YS-N24/53-5300057/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100052/2017,33,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100052/2017,53,,,,,,,PASS
YS-N24/53-5300058/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100620/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100620/2017,53,,,,,,,PASS
YS-N24/53-5100063/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100063/2017,53,,,,,,,PASS
YS-N24/53-5100406/2017,35,,,,,,,56.0,27.0,,,,,,,,,,,A,N24,YS-N24/51-5100406/2017,53,WB1002116790,,,,,,PASS
YS-N24/53-5100642/2017,35,,,,,,,0.0,0.0,,,,,,,,,,,,N24,YS-N24/51-5100642/2017,53,,,,,,,ABSENT
YS-N24/53-5300059/2017,25,,56.0,28.0,,,,,,,,,,,,,,,,A,N24,,53,WB1002098028,04/04/2018,,,saheli,,PASS
YS-N24/53-5100603/2017,35,,,,,,,54.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100603/2017,53,WB1002140814,23/04/2018,,,,,PASS
YS-N24/53-5300060/2017,25,,42.0,24.0,,,,,,,,,,,,,,,,B,N24,,53,WB1002097482,28/05/2018,,,PROMITA,,PASS
YS-N24/53-5100098/2017,32,,,,,,,48.0,26.0,,,,,,,,,,,B+,N24,YS-N24/51-5100098/2017,53,WB1002096194,,,,,,PASS
YS-N24/53-5100099/2017,32,,,,,,,40.0,27.0,,,,,,,,,,,B,N24,YS-N24/51-5100099/2017,53,WB1002096174,,,,,,PASS
YS-N24/53-5100443/2017,33,,,,,,,54.0,25.0,,,,,,,,,,,B+,N24,YS-N24/51-5100443/2017,53,WB1002096352,,,,,,PASS
YS-N24/53-5100475/2017,33,,,,,,,60.0,26.0,,,,,,,,,,,A,N24,YS-N24/51-5100475/2017,53,WB1002096990,13/06/2018,,,,,PASS
YS-N24/53-5100476/2017,33,,,,,,,52.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100476/2017,53,WB1002097008,25/06/2018,,,,,PASS
YS-N24/53-5100474/2017,33,,,,,,,53.0,28.0,,,,,,,,,,,A,N24,YS-N24/51-5100474/2017,53,WB1002096268,11/06/2018,,,,,PASS
YS-N24/53-5300061/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100191/2017,35,,,,,,,54.0,22.0,,,,,,,,,,,B+,N24,YS-N24/51-5100191/2017,53,WB1002116716,25/04/2018,,,,,PASS
YS-N24/53-5100562/2017,35,,,,,,,54.0,24.0,,,,,,,,,,,B+,N24,YS-N24/51-5100562/2017,53,WB1002117286,13/07/2018,,,,,PASS
YS-N24/53-5300062/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300063/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300064/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100511/2017,35,,,,,,,,,,,,,,,,,,,,N24,YS-N24/51-5100511/2017,53,,,,,,,PASS
YS-N24/53-5300065/2017,25,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5300066/2017,23,,,,,,,,,,,,,,,,,,,,N24,,53,,,,,PROMITA,,PASS
YS-N24/53-5100362/2017,35,,,,,,,51.0,27.0,,,,,,,,,,,B+,N24,YS-N24/51-5100362/2017,53,WB1002116736,22/03/2018,,,,,PASS
